bldng_name,label_1,label_2,abbr,bldng_phrase_list,info_description,image
,REDWOOD <br> BOWL,REDWOOD <br> BOWL,,,Something abouth Something for something and more something,link to something
,,UPPER <br> PLAYING <br> FIELD,,,Something abouth Something for something and more something,link to something
,,LIBRARY <br> CIRCLE,,,Something abouth Something for something and more something,link to something
,,ALDER,,,Something abouth Something for something and more something,link to something
,,CHINQUAPIN,,,Something abouth Something for something and more something,link to something
,,HEMLOCK,,,Something abouth Something for something and more something,link to something
,,MADRONE,,,Something abouth Something for something and more something,link to something
,,MAPLE,,,Something abouth Something for something and more something,link to something
,,TAN OAK,,,Something abouth Something for something and more something,link to something
,,PEPPERWOOD,,,Something abouth Something for something and more something,link to something
,,CEDAR,,,Something abouth Something for something and more something,link to something
,CANYON<br>COMPLEX,CANYON<br>COMPLEX,,,Something abouth Something for something and more something,link to something
,,FEUERWERKER <br> HOUSE,,,Something abouth Something for something and more something,link to something
,,REDWOOD <br> SCIENCE <br> LAB,,,Something abouth Something for something and more something,link to something
,,FISH <br> HATCHERY,,,Something abouth Something for something and more something,link to something
,,WILDLIFE <br> GAME PENS,,,Something abouth Something for something and more something,link to something
,CAMPUS EVENTS <br> FIELD,CAMPUS EVENTS FIELD,,,Something abouth Something for something and more something,link to something
,,EAST <br> BLEACHERS,,,Something abouth Something for something and more something,link to something
,,WEST <br> BLEACHERS,,,Something abouth Something for something and more something,link to something
,CREEKVIEW <br> COMPLEX,CREEKVIEW <br> COMPLEX,,,Something abouth Something for something and more something,link to something
,UNIVERSITY <br> CENTER,,,,Something abouth Something for something and more something,link to something
,,FACILITIES <br> MANAGEMENT,,,Something abouth Something for something and more something,link to something
,NELSON <br> HALL,,,,Something abouth Something for something and more something,link to something
,WILDLIFE <br> FISHERIES,,,,Something abouth Something for something and more something,link to something
,ART A,ART A,,,Something abouth Something for something and more something,link to something
,,REDWOOD <br>PLAZA,,,Something abouth Something for something and more something,link to something
,CYPRESS HALL,,,,Something abouth Something for something and more something,link to something
